image,score,IoU,Dice,Precision,Recall,F1,PredArea,GtArea,TP,FP
1646466936258.png,0.9902715086936951,0.8488898169416023,0.9182697737454354,0.8652099886492622,0.9782626132991097,0.9182697737454355,14096,12467,1,0
1646466936258.png,0.960369884967804,0.7331789527852823,0.8460510688836105,0.7942303672217964,0.9051060112761058,0.8460510688836105,14351,12593,1,0
1646466936258.png,0.9570351243019104,0.5961273478859961,0.7469671498023536,0.6024405438088607,0.9827246099587542,0.7469671498023536,27289,16729,1,0
1646466986468.png,0.9420270919799805,0.629013393699302,0.7722630103990551,0.7123264259773553,0.8432126239126037,0.7722630103990552,23405,19772,1,0
1646467055251.png,0.9877477884292603,0,0.0,0.0,0,0,26452,0,0,1
1646467055251.png,0.827197790145874,0.599943910818201,0.7499561787905347,0.6461526844370611,0.8934948313668163,0.7499561787905346,13243,9577,1,0
1646467098404.png,0.9931703805923462,0.7729083665338645,0.8719101123595505,0.7964460784313725,0.9631715450166728,0.8719101123595506,16320,13495,1,0
1646467165401.png,0.9857816100120544,0.6405808793868495,0.7809195967543644,0.7893428770255493,0.7726741922927209,0.7809195967543644,10059,10276,1,0
1646467165401.png,0.9829219579696655,0.9098716887417219,0.9528092322695996,0.9731075697211156,0.9333404097229594,0.9528092322695996,27108,28263,1,0
1646467165401.png,0.9541662335395813,0,0.0,0.0,0,0,18704,0,0,1
1646467165401.png,0.7801461219787598,0,0.0,0.0,0,0,13412,0,0,1
1646467182012.png,0.9250525832176208,0.48182900357117847,0.6503166052358,0.5103085137941263,0.8961969262828862,0.6503166052358,13484,7678,0,1
1646467182012.png,0.9131234884262085,0.6415208207604104,0.7816176470588235,0.6597931034482759,0.9586172344689379,0.7816176470588236,14500,9980,1,0
1646467182012.png,0.9021824598312378,0.4641306021869706,0.6340016409652242,0.49613117776826576,0.877986248688964,0.6340016409652242,30371,17162,0,1
1646467182012.png,0.5630704164505005,0,0.0,0.0,0,0,17226,0,0,1
1646467207136.png,0.9773076772689819,0.36960633776175533,0.539726383518019,0.6840609555189456,0.4456877582783234,0.539726383518019,24280,37266,0,1
1646467207136.png,0.9508789777755737,0.6475409836065574,0.7860696517412935,0.7043230177913381,0.8892835701420853,0.7860696517412935,25237,19988,1,0
1646467207136.png,0.867275059223175,0,0.0,0.0,0,0,20602,0,0,1
1646467207136.png,0.8402817845344543,0.47312171000159514,0.6423389279913373,0.9808201058201058,0.477539848655611,0.6423389279913373,18144,37266,0,1
1646467228867.png,0.9056658744812012,0,0.0,0.0,0,0,24437,0,0,1
1646467228867.png,0.8975556492805481,0.540006967831843,0.7013045773320262,0.5786640948262453,0.8899095737046074,0.7013045773320263,32143,20901,1,0
1646467350979.png,0.9778412580490112,0.4840623706361253,0.6523477452347746,0.49197111002033517,0.967857635535936,0.6523477452347746,14261,7249,0,1
1646467350979.png,0.9280949831008911,0,0.0,0.0,0,0,18250,0,0,1
1646467350979.png,0.6762113571166992,0,0.0,0.0,0,0,25325,0,0,1
1646467350979.png,0.6113292574882507,0,0.0,0.0,0,0,4676,0,0,1
1646467410642.png,0.9827436208724976,0.7243296272073251,0.8401289588469562,0.7893799002138275,0.8978516416700446,0.8401289588469562,14030,12335,1,0
1646467410642.png,0.828326940536499,0,0.0,0.0,0,0,11713,0,0,1
1646467410642.png,0.7057594060897827,0,0.0,0.0,0,0,21180,0,0,1
1646467448680.png,0.979719340801239,0.7097105448944226,0.8302113442696798,0.7271412132171626,0.9673271224248786,0.8302113442696797,30415,22863,1,0
1646467448680.png,0.7024506330490112,0,0.0,0.0,0,0,26483,0,0,1
1646467486830.png,0.9975705742835999,0.604869688552686,0.7537929002798645,0.6153059997595287,0.9727238167648736,0.7537929002798645,16634,10522,1,0
1646467486830.png,0.9726858139038086,0.4717546544248916,0.6410778494996318,0.5194103194103195,0.8371803575469563,0.6410778494996318,14245,8838,0,1
1646467486830.png,0.5236133337020874,0,0.0,0.0,0,0,11571,0,0,1
1646467503103.png,0.9618250131607056,0.8440405947604437,0.9154251779040598,0.8907985851641509,0.9414521139367136,0.9154251779040598,40146,37986,1,0
1646467518401.png,0.9953194260597229,0.7776254196415906,0.8749035776034048,0.9904842206697181,0.7834786337001572,0.8749035776034046,16604,20991,1,0
1646467518401.png,0.9935418367385864,0.909770571468623,0.9527537863032468,0.9515663946043693,0.9539441450269476,0.9527537863032468,20461,20410,1,0
1646467518401.png,0.9588741660118103,0.6411516853932584,0.7813436029097133,0.6544802867383512,0.9692144373673036,0.7813436029097133,12555,8478,1,0
1646467518401.png,0.5093616843223572,0,0.0,0.0,0,0,7654,0,0,1
1646467537472.png,0.987518846988678,0.3301588249343205,0.49642015486477387,0.33812333751184764,0.9334064821066846,0.49642015486477387,32707,11848,0,1
1646467602089.png,0.9965544939041138,0.8549579240392923,0.9218084280613389,0.8909339468507219,0.9548995783003359,0.9218084280613389,29991,27982,1,0
1646467602089.png,0.9847180247306824,0.7357264830351177,0.8477447227153153,0.7397909667786488,0.9925877698202034,0.8477447227153154,26790,19967,1,0
1646467617364.png,0.9855704307556152,0.8250413195264277,0.9041344003548524,0.831068225061158,0.9912867274569402,0.9041344003548525,29432,24675,1,0
1646467617364.png,0.9774761199951172,0.6181622204257613,0.7640299750208159,0.6619671860829417,0.9033020194633515,0.764029975020816,24258,17777,1,0
1646467617364.png,0.8326708078384399,0,0.0,0.0,0,0,11101,0,0,1
1646467678518.png,0.9833409190177917,0.7867958613893907,0.8806779536388537,0.8099408284023669,0.9649532710280374,0.8806779536388537,29575,24824,1,0
1646467678518.png,0.9761281609535217,0.6352029748992872,0.7769102486355367,0.72115113988179,0.8420144594150509,0.7769102486355367,14212,12172,1,0
1646467678518.png,0.8129443526268005,0,0.0,0.0,0,0,18219,0,0,1
1646467708357.png,0.9935904741287231,0.6709992486851991,0.8031113708915966,0.6739868689155536,0.9934371523915462,0.8031113708915967,26502,17980,1,0
1646467708357.png,0.9884131550788879,0.8467984443286155,0.9170447884327305,0.8589905234473503,0.9835149483095836,0.9170447884327305,24587,21474,1,0
1646467708357.png,0.8716635704040527,0.47339240093493506,0.642588356821368,0.4928413785297946,0.9230524642289348,0.642588356821368,17671,9435,0,1
1646467781279.png,0.9963181018829346,0.8301488621456682,0.9071927200199451,0.9043743009817323,0.9100287607852945,0.9071927200199452,16094,15994,1,0
1646467781279.png,0.992976725101471,0.8290485284755889,0.9065353002596985,0.8561747749570142,0.9631905330830062,0.9065353002596984,19774,17577,1,0
1646467799520.png,0.9955750703811646,0.5505438259756877,0.7101299773055498,0.5684960596479638,0.9457528654419846,0.7101299773055497,21191,12738,1,0
1646467799520.png,0.9868088960647583,0.21533857089412645,0.35436803546142953,0.21598499061913695,0.9862919808087731,0.35436803546142953,13325,2918,0,1
1646467799520.png,0.9759725332260132,0.8291180587960802,0.9065768661666411,0.8745816105532586,0.941002012498676,0.9065768661666411,20316,18882,1,0
1646467817169.png,0.9782036542892456,0.6534763181411974,0.7904271878242822,0.6654411764705882,0.9732218909710392,0.7904271878242823,27472,18784,1,0
1646467817169.png,0.9482758045196533,0.5759151118074348,0.7308961091780017,0.5964304152223615,0.9436406067677946,0.7308961091780016,27118,17140,1,0
1646467843376.png,0.9484689235687256,0.537312914539709,0.6990286875988254,0.5483379403217804,0.963929728382756,0.6990286875988253,28218,16052,1,0
1646467843376.png,0.9038024544715881,0.3512854052422398,0.5199277722965804,0.35620456574416526,0.9621744522529971,0.5199277722965804,39205,14514,0,1
1646467843376.png,0.8953861594200134,0.5909912871938189,0.7429220913411861,0.5942639887594016,0.990767534793992,0.7429220913411863,24198,14514,1,0
LEFT_POST_LOWER_TRANS-13_31_29.jpeg,0.9900571703910828,0.5084675568887744,0.6741511338003087,0.9520885293316287,0.5218195393716616,0.6741511338003087,47713,87055,1,0
LEFT_POST_LOWER_TRANS-13_31_29.jpeg,0.9645550847053528,0,0.0,0.0,0,0,66705,0,0,1
LEFT_UPPER_POST_TRANS-13_31_2.jpeg,0.9740726947784424,0.7635370280282903,0.8659155049122583,0.8202942831872638,0.9169100795398373,0.8659155049122584,24874,22253,1,0
LT_ANT_LOWER_LONG-13_18_18.jpeg,0.986343264579773,0.48356492749097657,0.6518958739592039,0.9653478053610062,0.49210696026842876,0.6518958739592038,54542,106993,0,1
LT_ANT_LOWER_LONG-13_18_18.jpeg,0.9754835367202759,0.9150311306392948,0.955630554510965,0.973749563462807,0.9381735253708187,0.9556305545109651,103084,106993,1,0
LT_ANT_LOWER_LONG-20_14_28.png,0.9583569765090942,0.8150922065993076,0.8981276032543112,0.891430337686423,0.9049262629432068,0.8981276032543112,12941,12748,1,0
LT_ANT_LOWER_LONG-20_14_28.png,0.6152369976043701,0,0.0,0.0,0,0,30222,0,0,1
LT_ANT_LOWER_TRANS-16_16_55.jpeg,0.9932065010070801,0.9061620836736546,0.9507712816606361,0.9327852772198608,0.9694645371134522,0.9507712816606361,42818,41198,1,0
LT_ANT_LOWER_TRANS-16_16_55.jpeg,0.9743285179138184,0,0.0,0.0,0,0,42872,0,0,1
LT_ANT_UPPER_LONG-13_17_26.jpeg,0.9939234852790833,0.8057182705718271,0.8924075075307021,0.8188083553319278,0.9805444168629198,0.8924075075307021,56443,47133,1,0
LT_ANT_UPPER_LONG-13_17_26.jpeg,0.9681627154350281,0,0.0,0.0,0,0,60158,0,0,1
LT_ANT_UPPER_LONG-15_56_43.png,0.9618418216705322,0.761918960016697,0.8648740121503393,0.7850450062978096,0.9627759776957275,0.8648740121503393,32551,26542,1,0
LT_ANT_UPPER_LONG-20_13_47.png,0.9931307435035706,0.7668403700946507,0.8680358260702076,0.7679838108424752,0.9980621764526756,0.8680358260702076,46945,36123,1,0
LT_ANT_UPPER_LONG-20_13_47.png,0.9436319470405579,0.8856051703877791,0.9393325647337426,0.9575630519026745,0.9217832681017613,0.9393325647337426,15741,16352,1,0
LT_ANT_UPPER_LONG-20_26_45.png,0.9673867225646973,0.6149234300592689,0.7615511901226187,0.6527621195039459,0.913853673438216,0.7615511901226187,27497,19641,1,0
LT_ANT_UPPER_TRANS-14_1_27.jpeg,0.9895886182785034,0.7398904983617866,0.850502372486589,0.796274386990512,0.9126562084551981,0.850502372486589,43107,37610,1,0
LT_ANT_UPPER_TRANS-14_1_27.jpeg,0.5473934412002563,0,0.0,0.0,0,0,34853,0,0,1
LT_ANT_UPPER_TRANS-20_14_15.png,0.9687321186065674,0.6610053768029359,0.7959099784194841,0.726139133695856,0.8805138699408822,0.7959099784194842,10666,8796,1,0
LT_ANT_UPPER_TRANS-20_14_15.png,0.7686110734939575,0,0.0,0.0,0,0,42373,0,0,1
LT_ANT_UPPER_TRANS-20_14_15.png,0.7591527700424194,0,0.0,0.0,0,0,16131,0,0,1
LT_ANT_UPPER_YTRANS-13_17_41.jpeg,0.992643415927887,0.6115978635514511,0.758995624632665,0.7091214154972544,0.816416128125878,0.758995624632665,32780,28472,1,0
LT_LAT_LOWER_LONG-15_58_26.png,0.9900402426719666,0.7936164067013287,0.8849343747483694,0.795569711886492,0.9969158200290276,0.8849343747483694,27628,22048,1,0
LT_LAT_LOWER_TRANS-15_58_36.png,0.9287182092666626,0.5579636151457686,0.7162729729006715,0.5870809305589054,0.9183673469387755,0.7162729729006715,45607,29155,1,0
LT_LAT_UPPER_TRANS-14_2_44.jpeg,0.9935429096221924,0.9515676536376388,0.9751828504268938,0.9620721376825482,0.9886558345642541,0.9751828504268938,52178,50775,1,0
LT_LAT_UPPER_TRANS-14_2_44.jpeg,0.9887147545814514,0,0.0,0.0,0,0,29454,0,0,1
LT_LAT_UPPER_TRANS-20_28_11.png,0.9322049021720886,0.8028033472803348,0.8906166593171955,0.9372771237360168,0.8483816766890697,0.8906166593171955,20471,22616,1,0
LT_LAT_UPPER_TRANS-20_28_11.png,0.5740036964416504,0,0.0,0.0,0,0,11313,0,0,1
LT_LAT_UPPER_TRANS-20_28_11.png,0.5510783195495605,0,0.0,0.0,0,0,39002,0,0,1
LT_POST_LOWER_LONG-20_26_1.png,0.9923075437545776,0.8302718780984188,0.9072661696152365,0.8786933230242447,0.9377597029440368,0.9072661696152365,36214,33933,1,0
LT_POST_LOWER_LONG-20_26_1.png,0.9777334928512573,0.2869729985788726,0.4459658421672556,0.29284091458403827,0.9347322943990125,0.44596584216725554,20687,6481,0,1
LT_POST_LOWER_LONG-20_26_1.png,0.6852636337280273,0.7265968232510983,0.8416519866901546,0.7848863740074838,0.9072686992298765,0.8416519866901546,10957,9479,1,0
LT_POST_LOWER_TRANS-13_17_0.jpeg,0.9542521238327026,0.839197656204676,0.912569297131907,0.8466823240194035,0.9895759400039336,0.912569297131907,136677,116941,1,0
LT_POST_LOWER_TRANS-15_56_32.png,0.5401684641838074,0.5831298302065676,0.7366797328687572,0.6113738365613423,0.9265921022597581,0.7366797328687574,33199,21905,1,0
LT_POST_LOWER_TRANS-23_11_23.jpeg,0.990462601184845,0.6276016260162601,0.7711980818701766,0.6883499041419591,0.87671777399205,0.7711980818701766,22429,17610,1,0
LT_POST_LOWER_TRANS-23_11_23.jpeg,0.8935333490371704,0,0.0,0.0,0,0,23655,0,0,1
