image,score,IoU,Dice,Precision,Recall,F1,PredArea,GtArea,TP,FP
1646466936258.png,0.9882708191871643,0.858378225120499,0.9237928140971852,0.8806632244927641,0.9713644020213363,0.9237928140971852,13751,12467,1,0
1646466936258.png,0.9549329876899719,0.6092979057782976,0.7572220203488372,0.6105922426107021,0.9965329667045251,0.7572220203488372,27303,16729,1,0
1646466936258.png,0.9525700211524963,0.702046858908342,0.8249442196422494,0.7875090252707582,0.866116096243945,0.8249442196422494,13850,12593,1,0
1646466986468.png,0.9655587077140808,0.6384914492808336,0.7793650062209114,0.7157426999576809,0.8554015779890755,0.7793650062209115,23630,19772,1,0
1646467055251.png,0.9893803596496582,0,0.0,0.0,0,0,24413,0,0,1
1646467055251.png,0.9628888964653015,0.7378028263795424,0.8491214482792003,0.7914636347229742,0.9158400334133863,0.8491214482792003,11082,9577,1,0
1646467098404.png,0.9955083131790161,0.7679339817270852,0.8687360384089621,0.7896714753303431,0.965394590589107,0.8687360384089621,16498,13495,1,0
1646467165401.png,0.991544246673584,0.6410852132204152,0.7812942412202585,0.7360812322519577,0.832425068119891,0.7812942412202586,11621,10276,1,0
1646467165401.png,0.9738224744796753,0.9013506753376689,0.9481161860660914,0.9401022644265887,0.9562679121112408,0.9481161860660914,28749,28263,1,0
1646467165401.png,0.9492959976196289,0,0.0,0.0,0,0,18945,0,0,1
1646467165401.png,0.5891659259796143,0,0.0,0.0,0,0,14175,0,0,1
1646467182012.png,0.9617354869842529,0.4169640732809898,0.5885316094366552,0.43421704658077304,0.9129981766084918,0.5885316094366552,16144,7678,0,1
1646467182012.png,0.9541040658950806,0.6053828900993271,0.754191282133163,0.6267914012738853,0.9465931863727455,0.754191282133163,15072,9980,1,0
1646467182012.png,0.9098992943763733,0.45142709023357624,0.6220458378807422,0.4716396353022598,0.9132968185526162,0.6220458378807421,33233,17162,0,1
1646467207136.png,0.9903433322906494,0.5057315642205975,0.6717419973624266,0.7607087095241328,0.6014061074437825,0.6717419973624266,29462,37266,1,0
1646467207136.png,0.9647719264030457,0.6618148737775756,0.7964965101957028,0.7319527123333612,0.8735241144686812,0.7964965101957028,23854,19988,1,0
1646467207136.png,0.8203751444816589,0,0.0,0.0,0,0,21669,0,0,1
1646467207136.png,0.7734768390655518,0,0.0,0.0,0,0,19305,0,0,1
1646467228867.png,0.9299886226654053,0.6107533999277891,0.7583450079387317,0.6220199791628364,0.9711975503564423,0.7583450079387316,32634,20901,1,0
1646467228867.png,0.8734148144721985,0,0.0,0.0,0,0,25286,0,0,1
1646467350979.png,0.9804932475090027,0.4556407447973713,0.6260346124905944,0.4608967674661105,0.9755828390122776,0.6260346124905944,15344,7249,0,1
1646467350979.png,0.7724305391311646,0,0.0,0.0,0,0,17161,0,0,1
1646467350979.png,0.6750646829605103,0,0.0,0.0,0,0,4408,0,0,1
1646467350979.png,0.5450552701950073,0,0.0,0.0,0,0,24096,0,0,1
1646467410642.png,0.9890295267105103,0.7741334861071326,0.8726891095503351,0.8690409196880778,0.8763680583704905,0.8726891095503351,12439,12335,1,0
1646467410642.png,0.8847960233688354,0,0.0,0.0,0,0,24554,0,0,1
1646467410642.png,0.712467610836029,0,0.0,0.0,0,0,11087,0,0,1
1646467448680.png,0.9851979613304138,0.7048868002413234,0.8269015868285778,0.7200687664212267,0.9709574421554477,0.8269015868285777,30829,22863,1,0
1646467448680.png,0.8736875653266907,0,0.0,0.0,0,0,24869,0,0,1
1646467486830.png,0.9954127669334412,0.7294016234465914,0.8435306334371755,0.7492068176787428,0.9650256605208135,0.8435306334371754,13553,10522,1,0
1646467486830.png,0.966620147228241,0.5721733949054074,0.727875686943339,0.626079869600652,0.8692011767368183,0.727875686943339,12270,8838,1,0
1646467486830.png,0.7760235071182251,0,0.0,0.0,0,0,10506,0,0,1
1646467503103.png,0.9814760684967041,0.8518509678497267,0.9199994844497145,0.9012398676801091,0.9395566787763913,0.9199994844497145,39601,37986,1,0
1646467518401.png,0.993151068687439,0.712230896616986,0.8319332375373052,0.990524445614266,0.7171168596064981,0.8319332375373052,15197,20991,1,0
1646467518401.png,0.986764132976532,0.9201840083467704,0.9584331546839883,0.966332984710394,0.9506614404703577,0.9584331546839883,20079,20410,1,0
1646467518401.png,0.9715325236320496,0.6452771272443404,0.7843993167583981,0.6561358945864423,0.9749941023826374,0.784399316758398,12598,8478,1,0
1646467537472.png,0.9862481951713562,0.3296183918776987,0.4958090139114407,0.33499377334993774,0.9535786630654963,0.4958090139114408,33726,11848,0,1
1646467602089.png,0.994019627571106,0.8601137234858165,0.9247969224956637,0.8901709260422521,0.9622257165320564,0.9247969224956636,30247,27982,1,0
1646467602089.png,0.9886748790740967,0.753396506450508,0.8593566870686288,0.7583023710116061,0.9914859518205038,0.8593566870686287,26107,19967,1,0
1646467617364.png,0.981652557849884,0.6538105771164288,0.7906716599387189,0.6963803812379524,0.9144962592113405,0.7906716599387189,23345,17777,1,0
1646467617364.png,0.9805359840393066,0.8292901756444322,0.9066797457131539,0.8481084133258047,0.9739412360688956,0.9066797457131539,28336,24675,1,0
1646467678518.png,0.9833813905715942,0.7021707137601177,0.8250297200907813,0.7346506704304869,0.940765691751561,0.8250297200907813,15587,12172,1,0
1646467678518.png,0.9800028800964355,0.7759052007899934,0.8738137603795967,0.8092556989837957,0.9495649371575894,0.8738137603795967,29128,24824,1,0
1646467678518.png,0.7410869598388672,0,0.0,0.0,0,0,18522,0,0,1
1646467708357.png,0.9926077127456665,0.6747545209841908,0.8057951329937748,0.6794426417255202,0.9898776418242492,0.8057951329937748,26195,17980,1,0
1646467708357.png,0.9904912114143372,0.8526379379782522,0.9204582509075889,0.8631711990867208,0.9858899133836267,0.9204582509075889,24527,21474,1,0
1646467708357.png,0.8439783453941345,0.4322948482997353,0.6036394654535115,0.4540933639912304,0.9000529941706412,0.6036394654535115,18701,9435,0,1
1646467781279.png,0.9954203963279724,0.8951739078108075,0.9446878770559471,0.959741935483871,0.9300987870451419,0.944687877055947,15500,15994,1,0
1646467781279.png,0.995019793510437,0.8317595743661027,0.9081536529202429,0.8407868598284801,0.9872560732775787,0.9081536529202429,20639,17577,1,0
1646467799520.png,0.9948331117630005,0.5516850878782388,0.711078674646037,0.5660175675047637,0.9561155597425027,0.7110786746460371,21517,12738,1,0
